g_key,i_key,ra,dec,g_mag,i_mag,color,mag_err,match_distance
20251017135-101,20251017135-812,259.92135323618027,57.915791751374016,18.181613908172608,16.96939452783203,1.2122193803405779,0.054599316999999994,0.00010725079782305441
20251017135-101,20251017135-812,259.94070687124486,57.93894402160346,17.07683040817261,16.197230527832033,0.879599880340578,0.021482267,8.648901130164184e-05
20251017135-101,20251017135-812,259.93796092117213,57.92067954335421,18.135698908172607,16.91686402783203,1.2188348803405766,0.039416281,0.00012255864043226737
20251017135-101,20251017135-812,260.0325115898646,58.03288782226964,16.42053590817261,15.875428527832032,0.5451073803405784,0.0106508353,8.917641201712918e-05
20251017135-101,20251017135-812,260.04908827593397,58.05351866235415,18.48817390817261,17.19231352783203,1.295860380340578,0.039914924,0.0001275765158608467
20251017135-101,20251017135-812,259.9967095975559,57.9666956263963,17.26217490817261,16.21242952783203,1.0497453803405818,0.0213924435,4.242106670462583e-05
20251017135-101,20251017135-812,260.0170478512922,57.98896662760665,16.83683490817261,17.14730752783203,-0.3104726196594214,0.025829767,7.180291069484522e-05
20251017135-101,20251017135-812,260.0031739057927,57.96852864095521,15.918913908172609,15.01573052783203,0.9031833803405789,0.008624896,2.542937020472963e-05
20251017135-101,20251017135-812,260.01646074028395,57.985714835689166,17.80172490817261,16.35879102783203,1.4429338803405791,0.024850628,3.21272166188713e-05
20251017135-101,20251017135-812,259.99527071979185,57.955880442529256,17.58382690817261,16.22610652783203,1.3577203803405808,0.018560158,4.244760748026706e-05
20251017135-101,20251017135-812,259.99121594950805,57.94961691269418,18.07322190817261,16.87921652783203,1.194005380340581,0.0303993445,5.57223098752545e-05
20251017135-101,20251017135-812,260.0235221980632,57.96472373230335,17.99462590817261,16.81595852783203,1.1786673803405776,0.032435805,9.150990127261773e-05
20251017135-101,20251017135-812,259.9931977617729,57.91224951016333,16.31373490817261,15.414409527832031,0.8993253803405779,0.014550203000000001,5.4973097949994304e-05
20251017135-101,20251017135-812,260.03433792786973,57.95956115639095,18.43997590817261,16.64190952783203,1.798066380340579,0.030507754,3.525218808105576e-05
20251017135-101,20251017135-812,260.0240105968485,57.93995351351356,17.40356190817261,16.265947527832033,1.137614380340576,0.0191283335,4.9042450406086074e-05
20251017135-101,20251017135-812,260.0065226885457,57.91179827603908,16.67546990817261,15.10839952783203,1.5670703803405779,0.0139727765,3.978664927792811e-05
20251017135-101,20251017135-812,260.0707941065658,57.98398643921564,18.12192390817261,16.97558452783203,1.1463393803405815,0.042753842,7.72576868583119e-05
20251017135-101,20251017135-812,260.00273601714275,57.896379624595745,17.85795990817261,16.604457527832032,1.2535023803405778,0.031418388,5.4197886281261444e-05
20251017140-542,20251017141-300,259.86635475356854,57.77482470985227,13.373140967407227,12.332140793243408,1.0410001741638197,0.0099203807,0.00018587588410820164
20251017140-542,20251017141-300,259.9471690952157,57.87214411763142,14.760694967407227,13.812213793243409,0.9484811741638186,0.0071713515,0.0002821241003091889
20251017140-542,20251017141-300,259.8571535098828,57.745345029655624,14.412369967407226,13.71260279324341,0.6997671741638172,0.0141736794,0.00024270475578504883
20251017140-542,20251017141-300,259.6834968455567,57.81595048141027,15.849718967407227,15.456318793243408,0.3934001741638191,0.014869805,0.0003434723897586285
20251017140-542,20251017141-300,259.6731115852531,57.79698499453469,13.479165467407226,13.168417793243409,0.3107476741638173,0.0115949879,0.00037110184126056326
20251017140-542,20251017141-300,259.7022218468699,57.83095272606914,17.474884967407228,16.39044279324341,1.0844421741638186,0.029312480000000002,0.0003818174373068881
20251017140-542,20251017141-300,259.71550929498244,57.83513130480951,15.132994967407226,14.432872293243408,0.7001226741638185,0.010076897000000001,0.0002784453379263436
20251017140-542,20251017141-300,259.81897586961435,57.944607632764075,15.889026967407226,15.502978793243408,0.3860481741638182,0.017409667400000002,0.00016105202326792368
20251017140-542,20251017141-300,259.68901203030555,57.77916769504715,16.831010967407227,16.31407679324341,0.5169341741638185,0.029854083,0.0003186658586775489
20251017140-542,20251017141-300,259.73030767264015,57.82039875189349,17.567790967407227,16.46529079324341,1.1025001741638185,0.03505959,0.00027688418876961666
20251017140-542,20251017141-300,259.7426848602515,57.81588519423406,17.899747967407226,16.639734793243406,1.26001317416382,0.044981366,0.0001856411210215504
